"","Run_Pos","SampleID","Chloride","Sulfate","Nitrate","Chloride_DilF","Sulfate_DilF","Nitrate_DilF","Chloride_Note","Sulfate_Note","Nitrate_Note"
"1","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"2","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"3","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"4","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"5","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"6","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"7","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"8","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"9","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"10","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"11","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"12","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"13","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"14","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"15","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"16","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"17","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"18","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"19","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"20","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"21","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"22","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"23","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"24","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"25","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"26","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"27","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"28","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"29","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"30","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"31","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"32","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
"33","22","O220216h",7.896,NA,0.212,4,NA,4,"High calibration curve applied; Applied dilution factor x4",NA,"Low calibration curve applied; Applied dilution factor x4"
